Driver,Profile
ALB,Backmarker
ALO,Midfield Runner
BEA,Midfield Runner
BOT,Backmarker
COL,Midfield Runner
DOO,Backmarker
GAS,Backmarker
HAM,Front Runner
HUL,Midfield Runner
LAW,High Variance
LEC,Front Runner
MAG,Backmarker
NOR,Front Runner
OCO,Backmarker
PER,Front Runner
PIA,Front Runner
RIC,Backmarker
RUS,Front Runner
SAI,Front Runner
SAR,Backmarker
STR,Backmarker
TSU,Backmarker
VER,Front Runner
ZHO,Backmarker
