Driver,Regime Spread,Regime Stability
ALB,1.4796101503151204,0.18373596759855557
ALO,2.4441689436997915,0.4331070453688796
ANT,2.1306621823553966,0.4382482644767075
BEA,1.9715606237617127,0.3619337062791149
BOR,2.084446700587467,0.41648314504366396
COL,1.5594741590792216,0.3543490936587843
DOO,0.5332800210265443,0.07734273382789066
GAS,2.1632793333964737,0.43963228444625535
HAD,3.8234488052304147,1.2031646775863598
HAM,2.1741373909106607,0.37349450953850943
HUL,1.6571532111260066,0.37144141585728785
LAW,0.6259058807323918,0.05189265688837141
LEC,2.470977090981983,0.5012962615450625
NOR,2.30794591147469,0.4334353689618065
OCO,1.9801444356708582,0.33308452470358374
PIA,3.271946116210132,0.7956563303602096
RUS,3.1433594352026164,0.9971017813773183
SAI,1.2470260926757581,0.19389252128429088
STR,1.96226878924719,0.28584646001488373
TSU,2.98803160702659,0.6765089965474224
VER,3.8796048382487864,1.7442421141864584
