Driver,Profile
ALB,Midfield Runner
ALO,Backmarker
ANT,Midfield Runner
BEA,Midfield Runner
BOR,Backmarker
COL,Backmarker
DOO,Midfield Runner
GAS,Backmarker
HAD,High Variance
HAM,Front Runner
HUL,Backmarker
LAW,Midfield Runner
LEC,Front Runner
NOR,Front Runner
OCO,Midfield Runner
PIA,Front Runner
RUS,Front Runner
SAI,Midfield Runner
STR,Backmarker
TSU,Backmarker
VER,Front Runner
