Driver,Regime Spread,Regime Stability
ALB,2.08834203145047,0.3485022161058223
ALO,4.251713825252382,1.0650878988963228
BEA,2.045347374870488,2.0917229419447985
BOT,2.470238795907193,0.4830486531255367
COL,1.2545595875155982,0.2789045829615656
DOO,0.0,
GAS,1.7609937096594566,0.21544855921746822
HAM,3.2152919142787,0.9051843987921916
HUL,2.2201537822156383,0.3996897662477966
LAW,4.319206085764398,3.106667765475838
LEC,2.7223127495612687,0.8347565901581431
MAG,1.8723779161675176,0.3321275802294496
NOR,3.137698292289657,0.87225527097444
OCO,2.4094858511492707,0.4607759140604445
PER,3.1149071734615883,0.7397906927814547
PIA,1.9490462428756792,0.3381722924460845
RIC,2.1339682322147113,0.38980563808569696
RUS,3.1699791615625017,0.6247016892990528
SAI,4.217254389143735,1.3481599164833236
SAR,1.8467933935110012,0.29086217816346616
STR,2.4082842377556424,0.36591946163353184
TSU,3.211214951417428,0.5817874805369551
VER,4.252306611674977,1.1460767773429799
ZHO,3.371676109874067,0.8055656825504459
